3500	AGS	CLT	615	715	60
3501	AGS	CLT	815	915	60
3502	AGS	CLT	945	1045	60
3503	AGS	CLT	1140	1235	55
3504	AGS	CLT	1530	1620	50
3505	AGS	CLT	1715	1810	55
3507	AGS	CLT	1959	2049	50
5424	AUS	ORD	710	950	160
7754	AUS	ORD	730	1008	158
5436	AUS	ORD	940	1230	170
7756	AUS	ORD	1215	1453	158
5426	AUS	ORD	1415	1655	160
7758	AUS	ORD	1425	1703	158
5438	AUS	ORD	1705	1955	170
5431	AUS	DEN	645	755	130
6845	AUS	DEN	700	810	130
1201	AUS	DEN	920	1027	127
1519	AUS	DEN	925	1031	126
1209	AUS	DEN	1500	1608	120
1041	AUS	DEN	1500	1609	120
5433	AUS	DEN	1745	1855	130
4698	XZN	CDG	640	1004	204
6291	BFL	LAX	700	752	52
6014	BFL	LAX	710	802	52
6293	BFL	LAX	1045	1137	52
6295	BFL	LAX	1209	1300	51
6297	BFL	LAX	1355	1450	55
6020	BFL	LAX	1400	1450	50
6299	BFL	LAX	1625	1715	50
6022	BFL	LAX	1630	1716	46
6475	BFL	SFO	830	939	60
6474	BFL	SFO	1745	1854	60
9109	BAK	FRA	415	600	285
2722	BWI	CLT	600	717	77
2957	BWI	CLT	735	858	83
2686	BWI	CLT	1020	1137	77
2874	BWI	CLT	1208	1329	81
2870	BWI	CLT	1410	1530	80
2908	BWI	CLT	1600	1715	75
2741	BWI	CLT	1755	1912	77
2754	BWI	CLT	1935	2052	77
241	BWI	ORD	610	706	116
1431	BWI	ORD	615	711	116
707	BWI	ORD	800	900	120
271	BWI	ORD	800	901	121
1477	BWI	ORD	1000	1059	119
1579	BWI	ORD	1010	1111	121
575	BWI	ORD	1245	1345	120
379	BWI	ORD	1250	1351	121
1529	BWI	ORD	1455	1554	119
1112	BWI	ORD	1455	1559	124
1275	BWI	ORD	1722	1825	123
356	BWI	ORD	1735	1839	124
1533	BWI	ORD	1915	2013	118
327	BWI	ORD	1931	2032	121
1129	BWI	DEN	600	748	228
1141	BWI	DEN	630	807	217
1153	BWI	DEN	735	923	228
485	BWI	DEN	825	1009	224
1061	BWI	DEN	1040	1221	221
1149	BWI	DEN	1410	1600	230
1209	BWI	DEN	1425	1615	230
1295	BWI	DEN	1442	1624	222
509	BWI	DEN	1705	1850	225
409	BWI	DEN	1715	1859	224
299	BWI	LAX	845	1100	315
279	BWI	LAX	1800	2025	325
307	BWI	LAX	1855	2110	315
2862	BWI	PHL	610	655	45
2658	BWI	PHL	725	818	53
2903	BWI	PIT	705	801	56
2759	BWI	PIT	950	1046	56
2692	BWI	PIT	1540	1636	56
2774	BWI	PIT	1825	1921	56
1794	BWI	PIT	2030	2128	58
297	BWI	SFO	730	1016	346
287	BWI	SFO	1810	2048	338
8673	BWI	YYZ	615	800	105
8699	BWI	YYZ	915	1055	100
8675	BWI	YYZ	1210	1355	105
8695	BWI	YYZ	1510	1655	105
8677	BWI	YYZ	1905	2050	105
8897	BLR	FRA	150	810	590
876	BKK	DEN	700	1445	1245
838	BKK	DEN	700	1624	1344
8205	BKK	FRA	2345	3000	675
8203	BKK	SGN	850	1020	90
8201	BKK	LHR	110	715	725
890	BKK	LAX	700	1035	1055
838	BKK	SFO	700	1050	1070
876	BKK	SEA	700	955	1015
838	BKK	NRT	700	1505	365
876	BKK	NRT	700	1510	370
8234	BKK	NRT	2350	3155	365
890	BKK	IAD	700	2031	1471
850	PEK	ORD	1635	4030	775
876	PEK	DEN	925	1445	1160
852	PEK	JFK	925	2001	1356
876	PEK	SFO	925	1337	1152
852	PEK	NRT	925	1355	210
4801	Cit	LHR	645	815	90
4803	Cit	LHR	855	1025	90
4805	Cit	LHR	1110	1225	75
4897	Cit	LHR	1315	1430	75
4807	Cit	LHR	1525	1640	75
1965	BZE	CLT	1310	1822	192
9327	BGO	CPH	940	1110	90
9423	BGO	CPH	1205	1330	85
8823	TXL	BRU	705	820	75
8917	TXL	FRA	615	730	75
9214	TXL	FRA	640	755	75
8963	TXL	FRA	715	830	75
8967	TXL	FRA	810	925	75
9217	TXL	FRA	835	950	75
8969	TXL	FRA	1015	1130	75
8971	TXL	FRA	1115	1230	75
9215	TXL	FRA	1215	1330	75
8991	TXL	FRA	1430	1545	75
9180	TXL	MUC	705	810	65
9090	TXL	MUC	905	1010	65
9182	TXL	MUC	940	1045	65
1777	BDA	CLT	1255	1431	156
1710	BDA	FLL	1125	1258	153
1703	BDA	PHL	1345	1458	133
1705	BDA	DCA	1225	1339	134
705	BIL	DEN	803	925	82
1280	BIL	DEN	810	934	84
1488	BIL	DEN	1321	1447	86
708	BIL	DEN	1330	1454	84
5610	BIL	DEN	1620	1740	80
7845	BGM	IAD	625	738	73
7849	BGM	IAD	1435	1549	74
7860	BGM	IAD	1905	2015	70
7489	BHM	ORD	611	820	120
7332	BHM	ORD	1345	1555	130
5475	BHM	ORD	1355	1553	118
7167	BHM	ORD	1355	1605	130
7491	BHM	ORD	1605	1815	130
6802	BIS	DEN	700	750	110
6826	BIS	DEN	1530	1620	110
7504	BMI	ORD	700	749	49
5822	BMI	ORD	720	810	50
5824	BMI	ORD	1140	1230	50
7674	BMI	ORD	1610	1705	55
7672	BMI	ORD	1810	1905	55
1070	BOI	ORD	817	1230	193
1576	BOI	ORD	822	1240	198
1632	BOI	ORD	1354	1810	196
1508	BOI	DEN	740	922	102
694	BOI	DEN	740	924	104
598	BOI	DEN	955	1140	105
684	BOI	DEN	1000	1145	105
6872	BOI	DEN	1255	1440	105
1120	BOI	DEN	1545	1729	104
373	BOI	DEN	1545	1732	107
6703	BOI	SFO	700	738	98
6716	BOI	SFO	930	1015	105
6708	BOI	SFO	1120	1200	100
6718	BOI	SFO	1430	1505	95
6720	BOI	SFO	1837	1915	98
4636	BLQ	MUC	855	1015	80
4638	BLQ	MUC	1250	1415	85
4712	ZFQ	CDG	639	1049	250
525	BOS	ORD	600	733	153
527	BOS	ORD	715	847	152
529	BOS	ORD	815	948	153
883	BOS	ORD	915	1047	152
881	BOS	ORD	915	1054	159
531	BOS	ORD	1015	1147	152
530	BOS	ORD	1115	1248	153
535	BOS	ORD	1215	1347	152
533	BOS	ORD	1315	1456	161
595	BOS	ORD	1415	1546	151
549	BOS	ORD	1415	1547	152
539	BOS	ORD	1515	1654	159
541	BOS	ORD	1615	1754	159
107	BOS	ORD	1715	1853	158
543	BOS	ORD	1715	1858	163
545	BOS	ORD	1815	1959	164
547	BOS	ORD	1915	2053	158
403	BOS	DEN	750	1012	262
563	BOS	DEN	750	1020	270
1641	BOS	DEN	921	1140	259
1191	BOS	DEN	1100	1329	269
1457	BOS	DEN	1115	1331	256
1193	BOS	DEN	1325	1546	261
333	BOS	DEN	1330	1555	265
367	BOS	DEN	1645	1914	269
1211	BOS	DEN	1647	1918	271
8836	BOS	FRA	1630	2935	425
8858	BOS	FRA	2140	3445	425
8765	BOS	YHZ	950	1239	109
8767	BOS	YHZ	1225	1455	90
8761	BOS	YHZ	1545	1835	110
8769	BOS	YHZ	1835	2105	90
23	BOS	LAX	835	1143	360
51	BOS	LAX	845	1200	375
169	BOS	LAX	1820	2138	378
8643	BOS	YUL	640	749	60
8443	BOS	YUL	800	910	70
8359	BOS	YUL	1115	1223	60
8361	BOS	YUL	1505	1614	60
8483	BOS	YUL	1650	1759	60
8363	BOS	YUL	1930	2039	60
8903	BOS	MUC	1845	3210	445
2915	BOS	LGA	600	705	65
2917	BOS	LGA	700	805	65
1779	BOS	LGA	730	837	67
2919	BOS	LGA	800	908	60
2921	BOS	LGA	900	1010	70
2923	BOS	LGA	1000	1105	65
2925	BOS	LGA	1100	1204	64
2927	BOS	LGA	1200	1304	64
2929	BOS	LGA	1300	1404	64
2931	BOS	LGA	1400	1504	64
2933	BOS	LGA	1500	1605	65
2935	BOS	LGA	1600	1705	65
2937	BOS	LGA	1700	1805	65
2939	BOS	LGA	1800	1911	71
2941	BOS	LGA	1900	2011	71
2943	BOS	LGA	2000	2105	65
861	BOS	GIG	1855	3540	945
171	BOS	SFO	700	1020	380
75	BOS	SFO	820	1143	383
177	BOS	SFO	1130	1440	370
179	BOS	SFO	1535	1852	377
181	BOS	SFO	1735	2052	377
883	BOS	ICN	915	4530	1395
881	BOS	SIN	915	4740	1585
8529	BOS	YYZ	650	832	102
8531	BOS	YYZ	900	1046	106
8561	BOS	YYZ	1025	1212	107
8533	BOS	YYZ	1205	1348	103
8535	BOS	YYZ	1540	1725	105
8659	BOS	YYZ	1600	1753	113
8539	BOS	YYZ	1720	1905	105
8389	BOS	YYZ	1910	2059	109
8475	BOS	YVR	720	1019	359
231	BOS	IAD	605	737	92
7235	BOS	IAD	845	1025	100
193	BOS	IAD	1010	1139	89
1021	BOS	IAD	1410	1549	99
7239	BOS	IAD	1705	1845	100
861	BOS	IAD	1855	2031	96
2821	BOS	DCA	600	728	88
2823	BOS	DCA	700	829	89
2825	BOS	DCA	800	930	90
2827	BOS	DCA	900	1035	95
2829	BOS	DCA	1000	1131	91
2831	BOS	DCA	1100	1225	85
2833	BOS	DCA	1200	1327	87
2835	BOS	DCA	1300	1427	87
2837	BOS	DCA	1400	1527	87
2839	BOS	DCA	1500	1629	89
2841	BOS	DCA	1600	1728	88
2843	BOS	DCA	1700	1829	89
2845	BOS	DCA	1800	1934	94
2847	BOS	DCA	1900	2033	93
2849	BOS	DCA	2000	2131	91
6853	BZN	DEN	745	917	92
6806	BZN	DEN	1114	1245	91
6808	BZN	DEN	1555	1729	94
6855	BZN	DEN	1730	1905	95
9291	BSB	GRU	1912	2045	93
8993	BRE	FRA	615	720	65
8995	BRE	FRA	810	915	65
9016	BRE	FRA	1035	1140	65
8997	BRE	FRA	1410	1515	65
1943	BGI	PHL	1530	2031	301
9574	BNE	AKL	925	1430	185
9508	BNE	SYD	1000	1130	90
9506	BNE	SYD	1100	1230	90
8824	BRU	TXL	855	1015	80
9318	BRU	CPH	1240	1410	90
8820	BRU	FRA	840	945	65
8822	BRU	HAM	850	1000	70
4823	BRU	LHR	720	740	80
4825	BRU	LHR	945	1005	80
949	BRU	LHR	950	1005	75
4827	BRU	LHR	1120	1135	75
9103	BRU	MUC	710	825	75
949	BRU	SEA	950	1904	1094
4595	BRU	VRN	910	1040	90
951	BRU	IAD	1250	1535	525
9187	OTP	FRA	1450	1620	150
9085	OTP	MUC	700	800	120
9023	BUD	FRA	635	820	105
854	EZE	MIA	2040	2845	545
847	EZE	MVD	1055	1145	50
846	EZE	IAD	2120	3105	645
2360	BUF	CLT	750	942	112
1864	BUF	CLT	1510	1656	106
2338	BUF	CLT	1855	2038	103
7577	BUF	ORD	630	720	110
1169	BUF	ORD	830	911	101
421	BUF	ORD	845	920	95
7621	BUF	ORD	1000	1052	112
1431	BUF	ORD	1315	1357	102
1477	BUF	ORD	1315	1359	104
7623	BUF	ORD	1439	1530	111
471	BUF	ORD	1715	1755	100
1461	BUF	ORD	1719	1800	101
1699	BUF	ORD	1910	1951	101
1493	BUF	ORD	1920	2000	100
2336	BUF	PHL	720	836	76
2260	BUF	PHL	1135	1249	74
2324	BUF	PHL	1450	1603	73
2261	BUF	PHL	1735	1848	73
2271	BUF	PIT	650	750	60
2393	BUF	PIT	945	1042	57
2288	BUF	PIT	1545	1641	56
2323	BUF	PIT	1825	1922	57
7831	BUF	IAD	610	732	82
7829	BUF	IAD	1035	1158	83
7292	BUF	IAD	1430	1547	77
7833	BUF	IAD	1900	2012	72
1262	BUR	DEN	815	1127	132
1520	BUR	DEN	830	1141	131
6831	BUR	DEN	1120	1433	133
6833	BUR	DEN	1425	1738	133
138	BUR	SFO	640	752	72
1064	BUR	SFO	640	754	74
1230	BUR	SFO	854	1010	76
742	BUR	SFO	908	1020	72
6773	BUR	SFO	1000	1110	70
6775	BUR	SFO	1222	1330	60
6777	BUR	SFO	1340	1450	70
6779	BUR	SFO	1610	1720	70
1086	BUR	SFO	1755	1904	60
506	BUR	SFO	1800	1906	66
6783	BUR	SFO	1950	2100	70
385	BTV	ORD	739	854	135
1245	BTV	ORD	800	910	130
7573	BTV	ORD	930	1049	139
7230	BTV	ORD	945	1104	139
7571	BTV	ORD	1246	1405	139
397	BTV	ORD	1717	1824	127
7269	BTV	IAD	615	748	93
7271	BTV	IAD	1025	1157	92
7273	BTV	IAD	1430	1610	100
7275	BTV	IAD	1859	2030	91
4673	PUS	ICN	700	800	60
4672	PUS	ICN	1630	1730	60
9584	CNS	AKL	1130	1745	255
9025	CAI	FRA	55	515	320
9037	CAI	FRA	330	750	320
8807	CAI	FRA	350	810	320
9105	CAI	FRA	420	840	320
1052	YYC	ORD	815	1233	198
1024	YYC	ORD	818	1230	192
448	YYC	ORD	1542	2000	198
1050	YYC	DEN	645	904	139
1060	YYC	DEN	920	1141	141
1062	YYC	DEN	1522	1744	142
8458	YYC	IAH	810	1304	234
8464	YYC	IAH	1740	2234	234
8345	YYC	LAX	740	948	180
8631	YYC	LAX	1135	1343	180
8305	YYC	LAX	1915	2123	180
1080	YYC	SFO	730	924	174
8647	YYC	SFO	1320	1500	160
4770	CUN	LAX	1825	2110	285
4720	CUN	MEX	1200	1410	130
4765	CUN	MIA	950	1220	90
4777	CUN	MIA	1750	2025	95
6249	CLD	LAX	700	740	40
6031	CLD	LAX	717	757	40
6251	CLD	LAX	925	1005	40
6259	CLD	LAX	1125	1205	40
6035	CLD	LAX	1420	1458	38
6263	CLD	LAX	1425	1503	38
6271	CLD	LAX	1641	1720	39
6037	CLD	LAX	1642	1720	38
6274	CLD	LAX	1900	1940	40
6325	CPR	DEN	650	755	65
6327	CPR	DEN	1025	1130	65
6329	CPR	DEN	1320	1425	65
6331	CPR	DEN	1629	1734	65
5714	CID	ORD	650	752	62
7660	CID	ORD	715	817	62
5632	CID	ORD	900	952	52
7656	CID	ORD	1130	1235	65
7664	CID	ORD	1347	1500	73
5642	CID	ORD	1602	1704	62
5636	CID	ORD	1603	1705	62
5648	CID	ORD	1802	1854	52
5640	CID	ORD	1803	1905	62
7654	CID	ORD	1810	1915	65
5641	CID	DEN	645	759	134
5643	CID	DEN	723	820	117
5449	CID	DEN	1505	1602	117
6782	CID	DEN	1520	1605	105
6893	CID	DEN	1530	1615	105
2680	CHS	CLT	630	722	52
2789	CHS	CLT	1030	1122	52
2814	CHS	CLT	1215	1308	53
2875	CHS	CLT	1425	1518	53
2693	CHS	CLT	1800	1853	53
7483	CHS	ORD	745	915	150
7481	CHS	ORD	915	1045	150
7485	CHS	ORD	1230	1405	155
7404	CHS	ORD	1430	1605	155
7497	CHS	ORD	1435	1605	150
7487	CHS	ORD	1715	1845	150
7360	CHS	IAD	615	742	87
7362	CHS	IAD	1030	1159	89
7364	CHS	IAD	1440	1612	92
7366	CHS	IAD	1900	2030	90
7512	CRW	ORD	826	900	94
7549	CRW	ORD	835	909	94
7510	CRW	ORD	1705	1745	100
7555	CRW	ORD	1725	1805	100
7968	CRW	IAD	630	739	60
7993	CRW	IAD	1443	1555	72
7974	CRW	IAD	1905	2013	60
1821	CLT	ALB	1215	1408	113
2670	CLT	ALB	1945	2142	117
1872	CLT	ABE	1955	2133	98
1960	CLT	AUA	1105	1457	232
2459	CLT	ATL	1015	1122	67
1796	CLT	ATL	1230	1340	70
2470	CLT	ATL	1600	1708	60
2446	CLT	ATL	1745	1859	74
2441	CLT	ATL	2145	2251	66
3508	CLT	AGS	815	915	60
3509	CLT	AGS	1015	1115	60
3510	CLT	AGS	1405	1505	60
3511	CLT	AGS	1600	1655	55
3514	CLT	AGS	1835	1935	60
3515	CLT	AGS	2000	2100	60
3516	CLT	AGS	2150	2250	60
2751	CLT	BWI	815	932	77
2696	CLT	BWI	1015	1132	77
2705	CLT	BWI	1215	1332	77
2777	CLT	BWI	1400	1517	77
2671	CLT	BWI	1600	1720	80
2780	CLT	BWI	1810	1934	84
1715	CLT	BWI	2000	2121	81
2853	CLT	BWI	2145	2305	80
1964	CLT	BZE	1040	1209	209
1764	CLT	BDA	1030	1403	153
1893	CLT	BUF	1235	1414	99
2320	CLT	BUF	1630	1812	102
2254	CLT	BUF	2015	2201	106
1711	CLT	CHS	845	944	59
2691	CLT	CHS	1035	1132	57
2736	CLT	CHS	1230	1327	57
2684	CLT	CHS	1625	1723	58
2673	CLT	CHS	1800	1856	56
599	CLT	ORD	755	900	125
795	CLT	ORD	800	904	124
1239	CLT	ORD	1008	1110	122
253	CLT	ORD	1014	1115	121
1599	CLT	ORD	1251	1355	124
719	CLT	ORD	1255	1354	119
7449	CLT	ORD	1450	1605	135
1401	CLT	ORD	1705	1805	120
1593	CLT	ORD	1706	1805	119
129	CLT	ORD	1924	2020	116
1517	CLT	ORD	1925	2028	123
1714	CLT	CMH	1400	1515	75
1815	CLT	CMH	1800	1917	77
2137	CLT	CMH	1955	2112	77
1717	CLT	CMH	2200	2317	77
2893	CLT	DFW	815	949	154
2729	CLT	DFW	1400	1534	154
2818	CLT	DFW	1745	1919	154
2951	CLT	DFW	1945	2119	154
1083	CLT	DEN	900	1022	202
1053	CLT	DEN	900	1030	210
1217	CLT	DEN	1210	1340	210
1087	CLT	DEN	1220	1345	205
1047	CLT	DEN	1745	1910	205
1063	CLT	DEN	1745	1915	210
2704	CLT	DTW	835	1023	108
2869	CLT	DTW	1420	1606	106
2661	CLT	DTW	1950	2130	100
3525	CLT	FAY	820	909	49
3526	CLT	FAY	1045	1129	44
3512	CLT	FAY	1120	1205	45
3527	CLT	FAY	1230	1315	45
3528	CLT	FAY	1315	1404	49
3529	CLT	FAY	1450	1535	45
3530	CLT	FAY	1700	1745	45
3531	CLT	FAY	1845	1930	45
3532	CLT	FAY	2020	2110	50
3533	CLT	FAY	2150	2240	50
3506	CLT	FLO	845	930	45
3541	CLT	FLO	1215	1300	45
3544	CLT	FLO	1625	1710	45
3551	CLT	FLO	1900	1945	45
3572	CLT	FLO	1955	2040	45
2623	CLT	RSW	825	1017	112
2632	CLT	RSW	1035	1224	109
2527	CLT	RSW	1235	1422	107
2569	CLT	RSW	1430	1619	109
2516	CLT	RSW	1810	1959	109
1966	CLT	FPO	1015	1203	108
2605	CLT	FLL	835	1032	117
2548	CLT	FLL	1015	1203	108
2540	CLT	FLL	1230	1422	112
2406	CLT	FLL	1425	1617	112
2607	CLT	FLL	1610	1803	113
2404	CLT	FLL	1800	1954	114
2422	CLT	FLL	2140	2329	109
3534	CLT	GNV	1030	1220	110
3535	CLT	GNV	1430	1620	110
3536	CLT	GNV	1839	2029	110
3537	CLT	GNV	2005	2154	109
3538	CLT	GNV	2145	2334	109
1954	CLT	GCM	1030	1214	164
1956	CLT	GCM	1240	1418	158
1718	CLT	GSO	1020	1106	46
1719	CLT	GSO	1400	1442	42
2784	CLT	GSO	1600	1642	42
2207	CLT	GSO	1800	1845	45
2852	CLT	GSO	1945	2027	42
2753	CLT	GSO	2150	2232	42
3610	CLT	PGV	1030	1130	60
3611	CLT	PGV	1230	1335	65
3612	CLT	PGV	1420	1525	65
3614	CLT	PGV	1625	1725	60
3616	CLT	PGV	1955	2055	60
3617	CLT	PGV	2145	2250	65
2511	CLT	MDT	1400	1524	84
2517	CLT	MDT	1945	2111	86
2000	CLT	BDL	845	1042	117
2326	CLT	BDL	1215	1409	114
2116	CLT	BDL	1600	1749	109
2002	CLT	BDL	2005	2204	119
1798	CLT	BDL	2200	2354	114
2653	CLT	IAH	815	938	143
2886	CLT	IAH	1425	1553	148
2812	CLT	IAH	1745	1910	145
2804	CLT	IAH	1945	2108	143
3578	CLT	HSV	815	855	100
2119	CLT	IND	835	914	99
2127	CLT	IND	1235	1309	94
2131	CLT	IND	1420	1454	94
2130	CLT	IND	1755	1829	94
2132	CLT	IND	2010	2049	99
2562	CLT	JAX	815	925	70
2604	CLT	JAX	1015	1125	70
2534	CLT	JAX	1215	1327	72
2597	CLT	JAX	1400	1512	72
2515	CLT	JAX	1600	1712	72
2559	CLT	JAX	1745	1855	70
2533	CLT	JAX	2140	2252	72
3602	CLT	OAJ	835	937	62
3603	CLT	OAJ	1045	1150	65
3604	CLT	OAJ	1220	1325	65
3605	CLT	OAJ	1420	1525	65
3606	CLT	OAJ	1615	1720	65
3607	CLT	OAJ	1820	1925	65
3608	CLT	OAJ	1950	2054	64
3609	CLT	OAJ	2145	2249	64
2786	CLT	LAS	820	943	263
1848	CLT	LAS	1400	1535	275
1725	CLT	LAS	1430	1558	268
2764	CLT	LAS	1810	1933	263
1726	CLT	LAS	2140	2305	265
3056	CLT	LAX	840	1049	300
3057	CLT	LAX	1220	1410	290
3058	CLT	LAX	1620	1831	311
3059	CLT	LAX	1815	2007	292
3618	CLT	SDF	814	959	105
3619	CLT	SDF	1230	1415	105
3620	CLT	SDF	1630	1815	105
3621	CLT	SDF	1800	1945	105
3622	CLT	SDF	2155	2340	105
1736	CLT	MHT	830	1032	122
1875	CLT	MHT	1600	1754	114
1839	CLT	MHT	1945	2147	122
2018	CLT	MIA	815	1010	115
